2026-02-25 13:33:52 INFO     PR git:2592 skipped: No reviews by qam-openqa
2026-02-25 13:33:52 DEBUG    Fetching info for PR git:2517 from Gitea
2026-02-25 13:33:52 DEBUG    Relevant archs for SUSE:SLFO:1.2:PullRequest:2567:SL-Micro: ['aarch64', 'ppc64le', 's390x', 'x86_64']
2026-02-25 13:33:52 DEBUG    Checking OBS project SUSE:SLFO:1.2:PullRequest:2590:SLES
2026-02-25 13:33:52 DEBUG    Checking OBS project SUSE:SLFO:1.2:PullRequest:2587:SLES
2026-02-25 13:33:52 INFO     PR git:2577 skipped: No reviews by qam-openqa
2026-02-25 13:33:52 DEBUG    Fetching info for PR git:2516 from Gitea
2026-02-25 13:33:52 DEBUG    Relevant archs for SUSE:SLFO:1.2:PullRequest:2590:SLES: ['aarch64', 'ppc64le', 's390x', 'x86_64']
2026-02-25 13:33:52 INFO     PR git:2585 skipped: No reviews by qam-openqa
2026-02-25 13:33:52 DEBUG    Fetching info for PR git:2514 from Gitea
2026-02-25 13:33:52 DEBUG    Relevant archs for SUSE:SLFO:1.2:PullRequest:2587:SLES: ['aarch64', 'ppc64le', 's390x', 'x86_64']
2026-02-25 13:33:52 INFO     PR git:2593 skipped: No reviews by qam-openqa
2026-02-25 13:33:52 DEBUG    Fetching info for PR git:2489 from Gitea
2026-02-25 13:33:52 DEBUG    Checking OBS project SUSE:SLFO:1.2:PullRequest:2567:SLES
2026-02-25 13:33:52 DEBUG    Relevant archs for SUSE:SLFO:1.2:PullRequest:2567:SLES: ['aarch64', 'ppc64le', 's390x', 'x86_64']
2026-02-25 13:33:52 INFO     PR git:2576 skipped: No reviews by qam-openqa
2026-02-25 13:33:52 DEBUG    Fetching info for PR git:2484 from Gitea
2026-02-25 13:33:52 DEBUG    Fetching info for PR git:2482 from Gitea
2026-02-25 13:33:52 DEBUG    Checking OBS project SUSE:SLFO:1.2:PullRequest:2561
2026-02-25 13:33:52 DEBUG    Checking OBS project SUSE:SLFO:1.2:PullRequest:2557
2026-02-25 13:33:52 DEBUG    Checking OBS project SUSE:SLFO:1.2:PullRequest:2566
2026-02-25 13:33:52 DEBUG    Checking OBS project SUSE:SLFO:1.2:PullRequest:2539
2026-02-25 13:33:52 DEBUG    Checking OBS project SUSE:SLFO:1.2:PullRequest:2561:SL-Micro
2026-02-25 13:33:52 DEBUG    Checking OBS project SUSE:SLFO:1.2:PullRequest:2557:SL-Micro
2026-02-25 13:33:52 DEBUG    Checking OBS project SUSE:SLFO:1.2:PullRequest:2548
2026-02-25 13:33:52 DEBUG    Relevant archs for SUSE:SLFO:1.2:PullRequest:2561:SL-Micro: ['aarch64', 'ppc64le', 's390x', 'x86_64']
2026-02-25 13:33:52 DEBUG    Checking OBS project SUSE:SLFO:1.2:PullRequest:2566:SL-Micro
2026-02-25 13:33:52 DEBUG    Relevant archs for SUSE:SLFO:1.2:PullRequest:2557:SL-Micro: ['aarch64', 'ppc64le', 's390x', 'x86_64']
2026-02-25 13:33:52 DEBUG    Checking OBS project SUSE:SLFO:1.2:PullRequest:2539:SL-Micro
2026-02-25 13:33:52 DEBUG    Checking OBS project SUSE:SLFO:1.2:PullRequest:2558
2026-02-25 13:33:52 DEBUG    Relevant archs for SUSE:SLFO:1.2:PullRequest:2566:SL-Micro: ['aarch64', 'ppc64le', 's390x', 'x86_64']
2026-02-25 13:33:52 DEBUG    Fetching info for PR git:2480 from Gitea
2026-02-25 13:33:52 DEBUG    Checking OBS project SUSE:SLFO:1.2:PullRequest:2534
2026-02-25 13:33:52 DEBUG    Relevant archs for SUSE:SLFO:1.2:PullRequest:2539:SL-Micro: ['aarch64', 'ppc64le', 's390x', 'x86_64']
2026-02-25 13:33:52 INFO     PR git:2541 skipped: No reviews by qam-openqa
2026-02-25 13:33:52 DEBUG    Fetching info for PR git:2472 from Gitea
2026-02-25 13:33:52 DEBUG    Checking OBS project SUSE:SLFO:1.2:PullRequest:2548:SL-Micro
2026-02-25 13:33:52 DEBUG    Checking OBS project SUSE:SLFO:1.2:PullRequest:2558:SL-Micro
